state,date,population,metodology,count,rate
CHIHUAHUA,1998-03,2853951,vieja,59,24.80771394
CIUDAD DE MÉXICO,1998-03,8908489,vieja,85,11.44975315
NUEVO LEÓN,1998-03,3788814,vieja,12,3.800661632
OAXACA,1998-03,3616636,vieja,1,0.331800048
PUEBLA,1998-03,5095422,vieja,62,14.60134215
QUERÉTARO,1998-03,1487865,vieja,2,1.613049571
TAMAULIPAS,1998-03,2657690,vieja,22,9.933438437
TLAXCALA,1998-03,968244,vieja,3,3.718071065
VERACRUZ,1998-03,7162572,vieja,59,9.884717389
YUCATÁN,1998-03,1662020,vieja,2,1.444025944
QUINTANA ROO,1998-03,853084,vieja,20,28.13322018
SAN LUIS POTOSÍ,1998-03,2364007,vieja,21,10.65986691
SINALOA,1998-03,2473765,vieja,63,30.56070403
SONORA,1998-03,2192783,vieja,47,25.72073935
TABASCO,1998-03,1906582,vieja,40,25.17594313
AGUASCALIENTES,1998-03,970566,vieja,10,12.36391961
BAJA CALIFORNIA,1998-03,2367344,vieja,13,6.589663353
